Page,Balance,Colour,Symmetry,Proportion,Density,Description,Final Score
50245,0.5415560157228008,0.45650269791697295,0.9156944444444444,0.7308558904596615,0.0,tutorial,0.5289218097087759
320,0.4548679897031011,0.4858569446008292,0.21469350961538458,0.7852056121810367,0.2890397135416667,list,0.4459327539284036
39729,0.6517173964337479,0.6562487012798904,0.0,0.6951335981490943,0.0,login,0.4006199391725465
8555,0.8365540785771004,0.42280614499640057,0.5944444444444444,0.7515044255341942,0.0,form,0.521061818710428
36935,0.8655267002353155,0.6521444225892808,0.48378787878787877,0.78633602331545,0.7111132924043404,modal,0.6997816634664531
38398,0.597160615850403,0.6899052147463642,0.11912868923611114,0.8076876700404989,0.07616753472222226,other,0.45800994491911995
7013,0.4527424129358826,0.44224727350486603,0.1571355077214452,0.7241929616408419,0.8387174479166666,menu,0.5230071207439405
23622,0.8223696071197397,0.6539651321160705,0.2675925925925927,0.8340093152385163,0.6161827256944444,mediaplayer,0.6388238745522727
66542,0.9318626932034724,0.4508060554108944,0.3803240740740741,0.7257612286918709,0.04788628472222223,form,0.5073280672205068
50721,0.5593677355910203,0.3673687631105338,0.3622685185185185,0.7603215048137963,0.03375868055555553,settings,0.4166170405178849
66416,0.5097107200565889,0.5452744252966102,0.0,0.8081621823855765,0.9866878255208333,list,0.5699670306519218
69417,0.8725525696142418,0.5760385427657353,0.6751736111111111,0.8470469923718926,0.2120990668402778,modal,0.6365821565406516
68970,0.9023249760121302,0.6250818332281015,0.49996744791666664,0.7915316829004324,0.0,login,0.5637811880114662
39647,0.9079056544816644,0.7226395545105677,0.0,0.8777425402892205,0.8034174262152778,terms,0.662341035099346
7953,0.8283867879368119,0.5085776508170708,0.0,0.6000738832023796,0.045927209705372674,list,0.39659310633232703
19574,0.680559238349992,0.5015139097449116,0.604375,0.7195857938092531,0.10633680555555558,form,0.5224741494919425
49936,0.9568589886003216,0.8734786874715001,0.43443287037037037,0.7608502431735793,0.0058723958333333215,maps,0.606298637089821
18942,0.5897472957826333,0.8391339869506489,0.20847222222222228,0.7584994584670652,0.5777273220486112,news,0.5947160570942363
12675,0.9293642753303863,0.4451783103161941,0.6477647569444445,0.7675261676606542,0.18941840277777777,login,0.5958503826058913
4211,0.7990030536954766,0.8103493546478785,0.25616319444444446,0.7884971950598485,0.0,modal,0.5308025595695296
56790,0.5368197534163426,0.713996121847103,0.0,0.8883746158414583,0.0,mediaplayer,0.42783809822098073
24965,0.6524564828414748,0.71260371821769,0.6889105902777778,0.8236012922964213,0.0,form,0.5755144167266728
45714,0.631703961768304,0.7859636723933144,0.004768518518518561,0.8198701698354585,0.7474028862847222,modal,0.5979418417600636
34389,0.5832012678288432,0.8837702990195586,0.0,0.771563199502576,0.0,login,0.44770695327019555
58072,0.3964724976476344,0.5239671289045493,0.05419921875,0.74717719025666,0.21904025607638888,settings,0.3881712583270465
546,0.9164488372767339,0.586394959891743,0.0,0.7607599462811174,0.12506564670138887,list,0.47773387803019657
9248,0.9532840768396248,0.6357253207697144,0.28261718750000003,0.8070886977897334,0.0,mediaplayer,0.5357430565798145
7000,0.3474659217214601,0.46093111102850914,0.9993055555555556,0.8831393641041159,0.0,tutorial,0.5381683904819281
25075,0.9135306828003458,0.7564849398517788,0.5996527777777778,0.8126572187114913,0.12296549479166663,search,0.6410582227866121
18483,0.5878457782626323,0.6250788510877248,0.0,0.8562281603611654,0.9959592013888889,chat,0.6130223982200823
1411,0.5156629604439853,0.8261860288929083,0.3812779017857143,0.8571258113652092,0.43643825954861115,news,0.6033381924072856
43086,0.9067353309794326,0.8794951516333225,0.0,0.8789005277341903,0.0561356140839836,bare,0.5442533248861857
15891,0.9658328131845608,0.7765514853289113,0.010156249999999978,0.8263253837223475,0.1751671006944444,tutorial,0.5508066065860528
65578,0.3623663763569471,0.5598525039649259,0.12411489335317466,0.7875062545651975,0.8431759982638889,menu,0.5354032053008269
