Unnamed: 0,Page,Balance,Colour,Symmetry,Proportion,Density,Final Score,category
53858,55974,0.9641627678287408,0.437895083735161,0.1820585173932613,0.9183332331905216,0.7365684575389948,0.6478036119373358,Good
11729,58955,0.7079998149035747,0.7136831356284626,0.3318284084897747,0.7887241026842433,0.9491708472686732,0.6982812617949458,Good
5160,53162,0.8555798781823494,0.8282575173709951,0.3708269313922144,0.8080261921155305,0.9349191623263888,0.7595219362774956,Good
62083,35616,0.3503900873427202,0.6729788922367063,0.3882866028208791,0.7726471238839269,0.9692057291666668,0.6307016870901798,Good
46327,40462,0.9697021594810342,0.8764621352084925,0.1811910847479423,0.9051099635428808,0.3682842287694974,0.6601499143499694,Good
50960,6798,0.5933906776330802,0.7738725646082161,0.3607458794166031,0.7346283072176267,0.8452712673611111,0.6615817392473275,Good
4243,48903,0.5111401464738609,0.5258201244910696,0.4768585123491595,0.8177839909967329,0.7703266059027778,0.6203858760427202,Good
25061,50010,0.8671557315763845,0.8437274076554673,0.4439249910049836,0.7598680580612407,0.087284582868822,0.6003921542333797,Good
33620,38392,0.7073630153023107,0.6928668099645314,0.4764593519987883,0.7863588925121067,0.845537109375,0.7017170358305475,Good
12690,46711,0.933548809750069,0.5781497236880222,0.5399504187216573,0.6784653841442108,0.9463032501016324,0.7352835172811184,Good
26935,10399,0.9493886332557936,0.8013644501715821,0.4036676088968913,0.8629856209120286,0.0,0.6034812626472591,Good
41522,49862,0.4687706858777364,0.7631933302513189,0.5358297547404093,0.9029137561823396,0.6380434782608695,0.6617502010625348,Good
12647,43143,0.6534435440314172,0.4283548012547065,0.4540338949909326,0.7545840005243104,0.8461538461538461,0.6273140173910426,Good
27279,58271,0.8754595957034832,0.7843059805069035,0.4541758369535643,0.726450564075448,0.8548657562244518,0.7390515466927702,Good
31712,67093,0.8174623057173169,0.5967985925159239,0.6091626590367698,0.735089277246034,0.9825520833333332,0.7482129835698756,Good
10668,47248,0.8897448505834412,0.7008375533964154,0.2970669989386843,0.9156465570824952,0.2729991319444445,0.6152590183890961,Good
6447,4343,0.4782414588582599,0.557294845659311,0.4614937785400748,0.8529387434283993,0.7712022569444444,0.6242342166860979,Good
