Unnamed: 0,Page,Balance,Colour,Symmetry,Proportion,Density,Final Score,Score Bins,Score Category
4,3721,0.3009249005331322,0.5530851537428364,0.392671544228071,0.7368529006449548,0.0,0.3967068998297988,"(0.35, 0.4]",Poor
11,24141,0.5346793108114203,0.493758188050047,0.1438166681925455,0.7028548861256508,0.0,0.3750218106359327,"(0.35, 0.4]",Poor
27,48260,0.0,0.6244291060442433,0.0,0.9702655889145496,0.0,0.3189389389917586,"(0.3, 0.35]",Poor
36,3371,0.4626620079443695,0.2352411812990428,0.0622374979654947,0.7812621678462398,0.1688123914930555,0.3420430493096405,"(0.3, 0.35]",Poor
44,24511,0.0,0.5116670558112942,0.0,0.9780898778713564,0.0,0.2979513867365301,"(0.25, 0.3]",Poor
46,379,0.705541623205131,0.2537781438031509,0.0,0.8622718049735674,0.0,0.3643183143963698,"(0.35, 0.4]",Poor
53,63560,0.8113765748175599,0.0959730868559178,0.2032045774502135,0.7781636589004692,0.0,0.377743579604832,"(0.35, 0.4]",Poor
132,62664,0.4317070270117775,0.1500880238258534,0.3509132843017578,0.7205953750094483,0.3310910373263889,0.3968789494950452,"(0.35, 0.4]",Poor
134,49534,0.2367843810450922,0.426055670940298,0.4268389438782813,0.799826112457944,0.0373914930555555,0.3853793202754342,"(0.35, 0.4]",Poor
181,2425,0.2928194254909999,0.3070503592169766,0.4662431748018676,0.6667524460010588,0.0,0.3465730811021806,"(0.3, 0.35]",Poor
234,69028,0.9076214515602752,0.1107189858856644,0.0708070505401234,0.7595394740828555,0.1375795475659605,0.3972533019269758,"(0.35, 0.4]",Poor
248,56291,0.4801027724621344,0.2592304004949345,0.1968511777935605,0.7740307708217,0.2446365017361111,0.3909703246616881,"(0.35, 0.4]",Poor
260,43990,0.3333333333333333,0.3599382584149292,0.2366898148148148,0.9826549268668208,0.0,0.3825232666859796,"(0.35, 0.4]",Poor
268,5533,0.09094809215068,0.7166185258735152,0.2130951763334728,0.7746632162247759,0.0,0.3590650021164888,"(0.35, 0.4]",Poor
278,816,0.0,0.7862617549536277,0.0,0.9702655889145496,0.0,0.3513054687736355,"(0.35, 0.4]",Poor
297,65322,0.0,0.728864644012654,0.0,0.9702655889145496,0.0,0.3398260465854407,"(0.3, 0.35]",Poor
318,8751,0.0,0.3893750725411983,0.0,0.9679194347867428,0.0,0.2714589014655882,"(0.25, 0.3]",Poor
328,31986,0.9492872516848384,0.1248322946011405,0.0502595325360082,0.7556998227037972,0.0863411458333333,0.3932840094718234,"(0.35, 0.4]",Poor
339,27852,0.0,0.2741236086430128,0.0,0.9679194347867428,0.0,0.2484086086859511,"(0.2, 0.25]",Poor
343,26740,0.4402511148529179,0.3014347874052082,0.1992032679071449,0.6705974326247788,0.0,0.3222973205580099,"(0.3, 0.35]",Poor
364,68843,0.3907264154460508,0.2616337821866991,0.4466033466317072,0.8370735392836053,0.0,0.3872074167096125,"(0.35, 0.4]",Poor
378,33811,0.0,0.4483019063141691,0.0,0.9679194347867428,0.0,0.2832442682201824,"(0.25, 0.3]",Poor
399,35029,0.6221133206739407,0.4289324381181579,0.1561793766055935,0.6763162517593355,0.0,0.3767082774314055,"(0.35, 0.4]",Poor
413,70435,0.114084758236223,0.4766775600506838,0.4931486584941323,0.8527172218864522,0.0339127604166666,0.3941081918168315,"(0.35, 0.4]",Poor
424,32646,0.3914223510894665,0.142040458525191,0.061127829218107,0.7428782538353346,0.5300933667781493,0.3735124518892497,"(0.35, 0.4]",Poor
425,64026,0.0,0.8018782118745489,0.0,0.9702655889145496,0.0,0.3544287601578197,"(0.35, 0.4]",Poor
518,15535,0.3979367661586399,0.5513379307647984,0.2164219476478637,0.8004772183334522,0.0,0.3932347725809508,"(0.35, 0.4]",Poor
534,5708,0.5028631981422829,0.2875046886532015,0.1764103739546159,0.8260118451058144,0.1063368055555555,0.379825382282294,"(0.35, 0.4]",Poor
541,52790,0.5866607518408915,0.1243671862129255,0.3219134804757038,0.8202418117711536,0.1456457868821998,0.3997658034365748,"(0.35, 0.4]",Poor
542,57068,0.4684536135701849,0.4965168011536187,0.145703125,0.7874109576901462,0.0,0.37961689948279,"(0.35, 0.4]",Poor
556,39374,0.1959117705236651,0.3381031283958676,0.4411449075484406,0.8754755448579201,0.0,0.3701270702651787,"(0.35, 0.4]",Poor
559,22492,0.4848216856605328,0.4391707581499461,0.1100441526567562,0.779316856103824,0.0,0.3626706905142118,"(0.35, 0.4]",Poor
569,14959,0.680188679245283,0.403596443819839,0.0,0.7394726458664833,0.0,0.3646515537863211,"(0.35, 0.4]",Poor
572,63864,0.0,0.8886996006122838,0.0,0.9702655889145496,0.0,0.3717930379053667,"(0.35, 0.4]",Poor
574,62776,0.434116744535937,0.1310055515884517,0.1819301040084273,0.6556770593798185,0.4068777126736111,0.3619214344372491,"(0.35, 0.4]",Poor
599,40257,0.8313095478449809,0.1990965271868399,0.0,0.8376069000499864,0.0650689019097222,0.3866163753983059,"(0.35, 0.4]",Poor
600,20856,0.2445619011322461,0.3414400068643665,0.4062729275946745,0.8862286529138316,0.0311936780007432,0.3819394333011724,"(0.35, 0.4]",Poor
621,66735,0.169989963307816,0.6415603942077562,0.1298575507269965,0.7502575584080877,0.0503455946180555,0.3484022122537424,"(0.3, 0.35]",Poor
634,9681,0.3360510718900772,0.2943850969694435,0.2169865946514616,0.7317252215675536,0.1551573350694444,0.346861064029596,"(0.3, 0.35]",Poor
678,59133,0.4887783334297577,0.4971868118280673,0.166905763414171,0.7562155561642521,0.0467258029513888,0.3911624535575274,"(0.35, 0.4]",Poor
692,29231,0.1864408591873759,0.3326529700671716,0.5276291989922912,0.7818328818192997,0.1063368055555555,0.3869785431243387,"(0.35, 0.4]",Poor
704,23796,0.3915665039337903,0.4071870434693274,0.2135896278150153,0.6672145992526354,0.0483403862847222,0.3455796321510981,"(0.3, 0.35]",Poor
775,47984,0.085730282615546,0.2225909515054359,0.0,0.8500082717263308,0.3455946180555556,0.3007848247805736,"(0.3, 0.35]",Poor
791,21482,0.9538529007523148,0.0605137330113494,0.0,0.7630663495803849,0.029632919918246,0.3614131806524591,"(0.35, 0.4]",Poor
801,66109,0.3875355492061575,0.4080000582157679,0.3618477383142076,0.6915786285092892,0.03953125,0.3776986448490844,"(0.35, 0.4]",Poor
805,54582,0.4177394776436094,0.3974958520854425,0.1955405871073404,0.6664427910747195,0.0,0.3354437415822224,"(0.3, 0.35]",Poor
828,25838,0.5545099061522419,0.5158007668423267,0.0783839162190755,0.7678131691994513,0.0,0.3833015516826191,"(0.35, 0.4]",Poor
856,69356,0.4964011626764668,0.3462914775476985,0.3141491563009138,0.8408818430601421,0.0,0.3995447279170442,"(0.35, 0.4]",Poor
937,22611,0.9243510324483776,0.1235524894511407,0.0782476530349794,0.8178590503203022,0.0305044593088071,0.3949029369127214,"(0.35, 0.4]",Poor
949,65660,0.0,0.4561664701308551,0.0,0.9679194347867428,0.0,0.2848171809835196,"(0.25, 0.3]",Poor
1000,47711,0.0,0.6040935693124121,0.0,0.9702655889145496,0.0,0.3148718316453923,"(0.3, 0.35]",Poor
1012,60931,0.0,0.6366213325443059,0.0,0.9702655889145496,0.0,0.3213773842917711,"(0.3, 0.35]",Poor
1022,26652,0.167961237202811,0.567381536391599,0.3158232082578682,0.8098127517738294,0.0,0.3721957467252215,"(0.35, 0.4]",Poor
1025,54097,0.2929758342625436,0.4756185519946999,0.169453734671126,0.8913002095787981,0.0,0.3658696661014335,"(0.35, 0.4]",Poor
1046,66689,0.0,0.4805678583885961,0.0,0.9679194347867428,0.0,0.2896974586350678,"(0.25, 0.3]",Poor
1057,768,0.4990042398774908,0.3382772970544597,0.1366106449331275,0.8546938693824147,0.0,0.3657172102494986,"(0.35, 0.4]",Poor
1064,38573,0.7464558342420937,0.1940792684289426,0.1647221937224984,0.7511937443663408,0.113805276848755,0.3940512635217261,"(0.35, 0.4]",Poor
1071,67831,0.349157781618535,0.2718222121982999,0.430958301266469,0.7938467402907892,0.0,0.3691570070748186,"(0.35, 0.4]",Poor
1076,53197,0.2183761787967069,0.4619560871097963,0.3601995260293592,0.7932931918886548,0.1261458333333334,0.3919941634315701,"(0.35, 0.4]",Poor
1081,6132,0.8376639497845231,0.190753827476631,0.0990400801443124,0.7814518378564514,0.0,0.3817819390523835,"(0.35, 0.4]",Poor
1095,38820,0.8774305555555555,0.107080478340279,0.0,0.842808738708946,0.0344342251950947,0.3723507995599751,"(0.35, 0.4]",Poor
1112,63872,0.6319290465631929,0.4885429933873126,0.1937770029703776,0.6575447140757024,0.0,0.3943587513993171,"(0.35, 0.4]",Poor
1125,31752,0.5180729484810866,0.139901374411931,0.0858163503952968,0.8151058931362135,0.2734364149305555,0.3664665962710167,"(0.35, 0.4]",Poor
1137,49060,0.5096166760618903,0.2702797077308083,0.2783844439188638,0.8434096297343971,0.0208420138888888,0.3845064942669697,"(0.35, 0.4]",Poor
1171,58364,0.2454069320675936,0.4963574240349072,0.4280928137602733,0.7956481331298273,0.0,0.3931010605985203,"(0.35, 0.4]",Poor
1218,63034,0.3278189794924607,0.3503434888389527,0.4170997566353247,0.7437122588030524,0.1463210702341137,0.3970591108007808,"(0.35, 0.4]",Poor
1223,61009,1.0,0.0736021825100779,0.0,0.738360437516038,0.0,0.3623925240052231,"(0.35, 0.4]",Poor
1230,26582,0.4186970586731096,0.3707636457753724,0.1607543365681386,0.9691728312165108,0.0,0.3838775744466263,"(0.35, 0.4]",Poor
1245,23780,0.4752188807122067,0.5191934962805314,0.1918489227294922,0.7190328189663309,0.0,0.3810588237377122,"(0.35, 0.4]",Poor
1249,59575,0.0,0.8050441016422536,0.0,0.9702655889145496,0.0,0.3550619381113606,"(0.35, 0.4]",Poor
1259,3625,0.6163362373482486,0.2762006027534768,0.0556007832686435,0.6826952822681243,0.0,0.3261665811276986,"(0.3, 0.35]",Poor
1261,18983,0.4313157618000204,0.5484770769570078,0.1852016025119357,0.7365240211950104,0.0230078124999999,0.3849052549927949,"(0.35, 0.4]",Poor
1278,9382,0.1276714227689638,0.6162129641181662,0.1448685455322265,0.6592542376293667,0.0,0.3096014340097446,"(0.3, 0.35]",Poor
1280,21617,0.5008144796380091,0.3099973878078389,0.111718292236328,0.8324207941081205,0.0,0.3509901907580593,"(0.35, 0.4]",Poor
1302,42913,0.0,0.7430188216588186,0.0,0.9679194347867428,0.0,0.3421876512891122,"(0.3, 0.35]",Poor
1313,52010,0.0,0.0371193156954657,0.0,0.0,0.0,0.0074238631390931,"(-0.001, 0.05]",Poor
1318,70862,0.5468599859937134,0.3672910173825605,0.0,0.789256633024237,0.0,0.3406815272801021,"(0.3, 0.35]",Poor
1323,23850,0.0,0.8503188198365181,0.0,0.9679194347867428,0.0,0.3636476509246522,"(0.35, 0.4]",Poor
1338,34696,0.5242988702384308,0.2922532254796138,0.3158066078244343,0.7795383129864866,0.0654562717013889,0.3954706576460708,"(0.35, 0.4]",Poor
1342,20285,0.6754598540145985,0.5218156913197154,0.0,0.8000066027986635,0.0,0.3994564296265955,"(0.35, 0.4]",Poor
1364,19042,0.5001803946394221,0.3011905654883383,0.1811650496056446,0.7275937365948483,0.247769764957265,0.3915799022571036,"(0.35, 0.4]",Poor
1383,37540,0.2374962270438277,0.4282910819589957,0.3029937266392934,0.7666745290192669,0.0423471757710888,0.3555605480864945,"(0.35, 0.4]",Poor
